"","date","variable","value"
"81",2008-02-29,"gain",86.9527
"280",2008-02-29,"loss",13.0473
"93",2008-03-31,"gain",85.7592
"292",2008-03-31,"loss",14.2408
"110",2008-04-30,"gain",85.7147
"309",2008-04-30,"loss",14.2853
"127",2008-05-31,"gain",85.6267
"326",2008-05-31,"loss",14.3733
"144",2008-06-30,"gain",85.8049
"343",2008-06-30,"loss",14.1951
"161",2008-07-31,"gain",85.6407
"360",2008-07-31,"loss",14.3593
"178",2008-08-31,"gain",84.7685
"377",2008-08-31,"loss",15.2315
"194",2008-09-30,"gain",83.4549
"393",2008-09-30,"loss",16.5451
"28",2008-10-31,"gain",81.8269
"227",2008-10-31,"loss",18.1731
"44",2008-11-30,"gain",79.0819
"243",2008-11-30,"loss",20.9181
"60",2008-12-31,"gain",77.1027
"259",2008-12-31,"loss",22.8973
"12",2009-01-31,"gain",73.6248
"211",2009-01-31,"loss",26.3752
"74",2009-02-28,"gain",70.9606
"273",2009-02-28,"loss",29.0394
"94",2009-03-31,"gain",70.2689
"293",2009-03-31,"loss",29.7311
"111",2009-04-30,"gain",70.2371
"310",2009-04-30,"loss",29.7629
"128",2009-05-31,"gain",70.7261
"327",2009-05-31,"loss",29.2739
"145",2009-06-30,"gain",71.8199
"344",2009-06-30,"loss",28.1801
"162",2009-07-31,"gain",72.8426
"361",2009-07-31,"loss",27.1574
"179",2009-08-31,"gain",73.4543
"378",2009-08-31,"loss",26.5457
"195",2009-09-30,"gain",72.9618
"394",2009-09-30,"loss",27.0382
"29",2009-10-31,"gain",72.6284
"228",2009-10-31,"loss",27.3716
"45",2009-11-30,"gain",72.602
"244",2009-11-30,"loss",27.398
"61",2009-12-31,"gain",71.6964
"260",2009-12-31,"loss",28.3036
"13",2010-01-31,"gain",68.362
"212",2010-01-31,"loss",31.638
"75",2010-02-28,"gain",66.3344
"274",2010-02-28,"loss",33.6656
"95",2010-03-31,"gain",66.0338
"294",2010-03-31,"loss",33.9662
"112",2010-04-30,"gain",67.9662
"311",2010-04-30,"loss",32.0338
"129",2010-05-31,"gain",70.0703
"328",2010-05-31,"loss",29.9297
"146",2010-06-30,"gain",71.311
"345",2010-06-30,"loss",28.689
"163",2010-07-31,"gain",70.4274
"362",2010-07-31,"loss",29.5726
"180",2010-08-31,"gain",68.8033
"379",2010-08-31,"loss",31.1967
"196",2010-09-30,"gain",67.7953
"395",2010-09-30,"loss",32.2047
"30",2010-10-31,"gain",67.2016
"229",2010-10-31,"loss",32.7984
"46",2010-11-30,"gain",67.4938
"245",2010-11-30,"loss",32.5062
"62",2010-12-31,"gain",66.1261
"261",2010-12-31,"loss",33.8739
"14",2011-01-31,"gain",61.6606
"213",2011-01-31,"loss",38.3394
"76",2011-02-28,"gain",58.1593
"275",2011-02-28,"loss",41.8407
"96",2011-03-31,"gain",56.5447
"295",2011-03-31,"loss",43.4553
"113",2011-04-30,"gain",57.8499
"312",2011-04-30,"loss",42.1501
"130",2011-05-31,"gain",59.3783
"329",2011-05-31,"loss",40.6217
"147",2011-06-30,"gain",60.7227
"346",2011-06-30,"loss",39.2773
"164",2011-07-31,"gain",62.1384
"363",2011-07-31,"loss",37.8616
"181",2011-08-31,"gain",62.0432
"380",2011-08-31,"loss",37.9568
"197",2011-09-30,"gain",58.8678
"396",2011-09-30,"loss",41.1322
"31",2011-10-31,"gain",58.1079
"230",2011-10-31,"loss",41.8921
"47",2011-11-30,"gain",57.2306
"246",2011-11-30,"loss",42.7694
"63",2011-12-31,"gain",56.4508
"262",2011-12-31,"loss",43.5492
"15",2012-01-31,"gain",57.6331
"214",2012-01-31,"loss",42.3669
"82",2012-02-29,"gain",56.118
"281",2012-02-29,"loss",43.882
"97",2012-03-31,"gain",55.0944
"296",2012-03-31,"loss",44.9056
"114",2012-04-30,"gain",55.7608
"313",2012-04-30,"loss",44.2392
"131",2012-05-31,"gain",57.1773
"330",2012-05-31,"loss",42.8227
"148",2012-06-30,"gain",58.0393
"347",2012-06-30,"loss",41.9607
"165",2012-07-31,"gain",58.3094
"364",2012-07-31,"loss",41.6906
"182",2012-08-31,"gain",57.892
"381",2012-08-31,"loss",42.108
"198",2012-09-30,"gain",57.299
"397",2012-09-30,"loss",42.701
"32",2012-10-31,"gain",56.0885
"231",2012-10-31,"loss",43.9115
"48",2012-11-30,"gain",56.2348
"247",2012-11-30,"loss",43.7652
"64",2012-12-31,"gain",56.3147
"263",2012-12-31,"loss",43.6853
"16",2013-01-31,"gain",57.3675
"215",2013-01-31,"loss",42.6325
"77",2013-02-28,"gain",55.5365
"276",2013-02-28,"loss",44.4635
"98",2013-03-31,"gain",54.5749
"297",2013-03-31,"loss",45.4251
"115",2013-04-30,"gain",55.3668
"314",2013-04-30,"loss",44.6332
"132",2013-05-31,"gain",57.4758
"331",2013-05-31,"loss",42.5242
"149",2013-06-30,"gain",59.3359
"348",2013-06-30,"loss",40.6641
"166",2013-07-31,"gain",60.8784
"365",2013-07-31,"loss",39.1216
"183",2013-08-31,"gain",61.5015
"382",2013-08-31,"loss",38.4985
"199",2013-09-30,"gain",61.6559
"398",2013-09-30,"loss",38.3441
"33",2013-10-31,"gain",61.7934
"232",2013-10-31,"loss",38.2066
"49",2013-11-30,"gain",62.044
"248",2013-11-30,"loss",37.956
"65",2013-12-31,"gain",62.4506
"264",2013-12-31,"loss",37.5494
"17",2014-01-31,"gain",61.2606
"216",2014-01-31,"loss",38.7394
"78",2014-02-28,"gain",61.2925
"277",2014-02-28,"loss",38.7075
"99",2014-03-31,"gain",61.3353
"298",2014-03-31,"loss",38.6647
"116",2014-04-30,"gain",61.9376
"315",2014-04-30,"loss",38.0624
"133",2014-05-31,"gain",63.3821
"332",2014-05-31,"loss",36.6179
"150",2014-06-30,"gain",65.4421
"349",2014-06-30,"loss",34.5579
"167",2014-07-31,"gain",66.0527
"366",2014-07-31,"loss",33.9473
